Module                  Size  Used by
rfcomm                102400  16
snd_seq_dummy          12288  0
snd_hrtimer            12288  1
ccm                    20480  3
qrtr                   53248  2
snd_hda_codec_hdmi     98304  1
cmdlinepart            16384  0
snd_hda_codec_realtek   212992  1
spi_nor               163840  0
snd_hda_codec_generic   122880  1 snd_hda_codec_realtek
mtd                    98304  3 spi_nor,cmdlinepart
snd_hda_scodec_component    20480  1 snd_hda_codec_realtek
snd_hda_intel          61440  1
snd_intel_dspcfg       45056  1 snd_hda_intel
snd_intel_sdw_acpi     16384  1 snd_intel_dspcfg
snd_hda_codec         204800  4 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec_realtek
cmac                   12288  2
snd_hda_core          147456  5 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek
algif_hash             16384  1
algif_skcipher         16384  1
snd_hwdep              20480  1 snd_hda_codec
af_alg                 32768  6 algif_hash,algif_skcipher
bnep                   32768  2
snd_pcm               192512  4 snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,snd_hda_core
intel_soc_dts_thermal    16384  0
intel_soc_dts_iosf     16384  1 intel_soc_dts_thermal
intel_powerclamp       24576  0
coretemp               24576  0
kvm_intel             487424  0
rtl8723be             176128  0
uvcvideo              143360  0
snd_seq_midi           24576  0
at24                   28672  0
btcoexist             290816  1 rtl8723be
videobuf2_vmalloc      20480  1 uvcvideo
spi_intel_platform     12288  0
snd_seq_midi_event     16384  1 snd_seq_midi
spi_intel              36864  1 spi_intel_platform
uvc                    12288  1 uvcvideo
i915                 4714496  14
rtl8723_common         24576  1 rtl8723be
videobuf2_memops       16384  1 videobuf2_vmalloc
snd_rawmidi            57344  1 snd_seq_midi
videobuf2_v4l2         36864  1 uvcvideo
rtl_pci                40960  1 rtl8723be
intel_rapl_msr         20480  0
rtlwifi               143360  4 rtl_pci,rtl8723be,btcoexist,rtl8723_common
joydev                 32768  0
videobuf2_common       86016  4 videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
rtsx_usb_ms            24576  0
kvm                  1425408  1 kvm_intel
binfmt_misc            24576  1
snd_seq               122880  9 snd_seq_midi,snd_seq_midi_event,snd_seq_dummy
btusb                  73728  0
memstick               28672  1 rtsx_usb_ms
videodev              360448  2 videobuf2_v4l2,uvcvideo
nls_iso8859_1          12288  1
btrtl                  32768  1 btusb
mac80211             1814528  3 rtl_pci,rtl8723be,rtlwifi
irqbypass              12288  1 kvm
snd_seq_device         16384  3 snd_seq,snd_seq_midi,snd_rawmidi
btintel                69632  1 btusb
btbcm                  24576  1 btusb
btmtk                  36864  1 btusb
drm_buddy              24576  1 i915
ttm                   118784  1 i915
punit_atom_debug       12288  0
bluetooth            1011712  44 btrtl,btmtk,btintel,btbcm,bnep,btusb,rfcomm
mc                     81920  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
cfg80211             1433600  2 rtlwifi,mac80211
snd_timer              53248  3 snd_seq,snd_hrtimer,snd_pcm
drm_display_helper    278528  1 i915
intel_cstate           20480  0
wmi_bmof               12288  0
mei_txe                36864  0
cec                    94208  2 drm_display_helper,i915
snd                   143360  15 snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek,snd_timer,snd_pcm,snd_rawmidi
i2c_i801               36864  0
int3401_thermal        12288  0
i2c_smbus              20480  1 i2c_i801
processor_thermal_device    20480  1 int3401_thermal
rc_core                73728  1 cec
processor_thermal_wt_hint    16384  1 processor_thermal_device
mei                   172032  1 mei_txe
i2c_mux                16384  1 i2c_i801
libarc4                12288  1 mac80211
processor_thermal_rfim    40960  1 processor_thermal_device
lpc_ich                32768  0
soundcore              16384  1 snd
i2c_algo_bit           16384  1 i915
processor_thermal_rapl    16384  1 processor_thermal_device
intel_rapl_common      53248  2 intel_rapl_msr,processor_thermal_rapl
processor_thermal_wt_req    12288  1 processor_thermal_device
processor_thermal_power_floor    12288  1 processor_thermal_device
classmate_laptop       24576  0
processor_thermal_mbox    12288  4 processor_thermal_power_floor,processor_thermal_wt_req,processor_thermal_rfim,processor_thermal_wt_hint
int3400_thermal        24576  0
int340x_thermal_zone    16384  1 processor_thermal_device
acpi_thermal_rel       20480  1 int3400_thermal
input_leds             12288  0
mac_hid                12288  0
serio_raw              20480  0
sch_fq_codel           24576  2
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     28672  0
parport                73728  3 parport_pc,lp,ppdev
efi_pstore             12288  0
nfnetlink              20480  1
dmi_sysfs              24576  0
ip_tables              32768  0
x_tables               65536  1 ip_tables
autofs4                57344  2
btrfs                2088960  0
blake2b_generic        20480  0
raid10                 77824  0
raid456               196608  0
async_raid6_recov      20480  1 raid456
async_memcpy           16384  2 raid456,async_raid6_recov
async_pq               20480  2 raid456,async_raid6_recov
async_xor              16384  3 async_pq,raid456,async_raid6_recov
async_tx               16384  5 async_pq,async_memcpy,async_xor,raid456,async_raid6_recov
xor                    20480  2 async_xor,btrfs
raid6_pq              126976  4 async_pq,btrfs,raid456,async_raid6_recov
raid1                  61440  0
raid0                  24576  0
linear                 16384  0
dm_mirror              24576  0
dm_region_hash         24576  1 dm_mirror
dm_log                 20480  2 dm_region_hash,dm_mirror
r8169                 126976  0
polyval_generic        12288  0
ghash_clmulni_intel    16384  0
sha256_ssse3           32768  0
sha1_ssse3             32768  0
psmouse               217088  0
realtek                49152  1
ahci                   49152  2
libahci                53248  1 ahci
video                  77824  1 i915
wmi                    28672  2 video,wmi_bmof
rtsx_usb_sdmmc         36864  0
rtsx_usb               32768  2 rtsx_usb_sdmmc,rtsx_usb_ms
crypto_simd            16384  0
cryptd                 24576  2 crypto_simd,ghash_clmulni_intel
