Module                  Size  Used by
cdc_acm                49152  0
ccm                    20480  6
rfcomm                 98304  16
snd_seq_dummy          12288  0
snd_hrtimer            12288  1
qrtr                   53248  2
cmac                   12288  2
algif_hash             16384  1
algif_skcipher         12288  1
af_alg                 32768  6 algif_hash,algif_skcipher
bnep                   32768  2
binfmt_misc            24576  1
amdgpu              20094976  19
snd_soc_acp6x_mach     40960  4
snd_acp6x_pdm_dma      12288  1
snd_soc_dmic           12288  1
snd_sof_amd_acp70      16384  0
snd_sof_amd_acp63      16384  0
snd_sof_amd_vangogh    16384  0
snd_sof_amd_rembrandt    16384  0
snd_sof_amd_renoir     16384  0
snd_sof_amd_acp        61440  5 snd_sof_amd_acp70,snd_sof_amd_rembrandt,snd_sof_amd_vangogh,snd_sof_amd_acp63,snd_sof_amd_renoir
snd_sof_pci            24576  5 snd_sof_amd_acp70,snd_sof_amd_rembrandt,snd_sof_amd_vangogh,snd_sof_amd_acp63,snd_sof_amd_renoir
snd_sof_xtensa_dsp     12288  1 snd_sof_amd_acp
snd_ctl_led            24576  0
snd_sof               401408  2 snd_sof_amd_acp,snd_sof_pci
snd_hda_codec_alc269   139264  1
snd_sof_utils          16384  1 snd_sof
snd_pci_ps             32768  0
snd_hda_scodec_component    20480  1 snd_hda_codec_alc269
snd_soc_acpi_amd_match    12288  3 snd_sof_amd_acp70,snd_sof_amd_acp63,snd_pci_ps
snd_amd_sdw_acpi       16384  2 snd_sof_amd_acp,snd_pci_ps
snd_hda_codec_realtek_lib    65536  1 snd_hda_codec_alc269
soundwire_amd          45056  2 snd_sof_amd_acp,snd_pci_ps
snd_hda_codec_generic   122880  2 snd_hda_codec_realtek_lib,snd_hda_codec_alc269
soundwire_generic_allocation    24576  1 soundwire_amd
snd_hda_codec_atihdmi    24576  1
soundwire_bus        1175552  2 soundwire_generic_allocation,soundwire_amd
snd_hda_codec_hdmi     65536  1 snd_hda_codec_atihdmi
snd_soc_sdca           90112  1 soundwire_bus
snd_hda_intel          61440  10
snd_soc_core          413696  6 snd_soc_acp6x_mach,snd_sof,snd_soc_sdca,snd_acp6x_pdm_dma,soundwire_amd,snd_soc_dmic
snd_hda_codec         204800  6 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec_realtek_lib,snd_hda_codec_alc269,snd_hda_codec_atihdmi
snd_compress           36864  1 snd_soc_core
amd_atl                69632  1
intel_rapl_msr         20480  0
ac97_bus               12288  1 snd_soc_core
rtw89_8852be           12288  0
snd_hda_core          143360  7 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek_lib,snd_hda_codec_alc269,snd_hda_codec_atihdmi
snd_pcm_dmaengine      20480  1 snd_soc_core
intel_rapl_common      53248  1 intel_rapl_msr
snd_intel_dspcfg       45056  2 snd_hda_intel,snd_sof
rtw89_8852b           372736  1 rtw89_8852be
snd_rpl_pci_acp6x      16384  0
snd_intel_sdw_acpi     16384  1 snd_intel_dspcfg
snd_hwdep              24576  1 snd_hda_codec
rtw89_8852b_common     73728  1 rtw89_8852b
snd_acp_pci            12288  0
snd_amd_acpi_mach      12288  1 snd_acp_pci
uvcvideo              143360  0
amdxcp                 12288  1 amdgpu
snd_seq_midi           24576  0
drm_panel_backlight_quirks    12288  1 amdgpu
snd_acp_legacy_common    28672  1 snd_acp_pci
rtw89_pci             106496  1 rtw89_8852be
videobuf2_vmalloc      20480  1 uvcvideo
snd_seq_midi_event     16384  1 snd_seq_midi
uvc                    12288  1 uvcvideo
gpu_sched              65536  1 amdgpu
videobuf2_memops       16384  1 videobuf2_vmalloc
edac_mce_amd           28672  0
snd_pci_acp6x          16384  0
snd_rawmidi            57344  1 snd_seq_midi
drm_buddy              28672  1 amdgpu
drm_ttm_helper         16384  1 amdgpu
rtw89_core           1167360  3 rtw89_8852b,rtw89_pci,rtw89_8852b_common
btusb                  77824  0
